result_dir,problem,algorithm,n_runs,mean_feasibility_ratio_recomputed,median_feasibility_ratio_recomputed
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD_DE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,MOSADE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,NSGA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,NSGA3,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,SMSEMOA,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT1,SPEA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,MOEAD_DE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,MOSADE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,NSGA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,NSGA3,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,SMSEMOA,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT2,SPEA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,MOEAD,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,MOEAD_DE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,MOSADE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,NSGA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,NSGA3,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,SMSEMOA,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT3,SPEA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,MOEAD,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,MOEAD_DE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,MOSADE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,NSGA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,NSGA3,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,SMSEMOA,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT4,SPEA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,MOEAD,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,MOEAD_DE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,MOSADE,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,NSGA2,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,NSGA3,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,SMSEMOA,31,1.0,1.0
results/20260417_034204_benchmark_zdt,ZDT6,SPEA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,MOEAD,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,MOSADE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,NSGA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,NSGA3,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,SMSEMOA,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG1,SPEA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,MOEAD,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,MOSADE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,NSGA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,NSGA3,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,SMSEMOA,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG2,SPEA2,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG3,MOEAD,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG3,MOEAD_DE,31,1.0,1.0
results/20260417_163055_benchmark_wfg,WFG3,MOSADE,31,1.0,1.0
