problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,p_adjust_method,p_adjusted,significant_alpha_0p05,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,202.0,0.3777303956449032,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.07388137356919876,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,170.0,0.13016566075384617,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.2154006243496358,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,111.0,0.006217258051037788,Holm,0.2113867737352848,False,cliffs_delta_comparison_minus_reference,0.36524453694068676,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,143.0,0.03935616556555033,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.25494276795005205,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,192.0,0.28106469474732876,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.22580645161290322,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,122.0,0.012432587333023548,Holm,0.4102753819897771,False,cliffs_delta_comparison_minus_reference,-0.44849115504682624,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,159.0,0.0828599464148283,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.2445369406867846,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,179.0,0.1820761300623417,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.21748178980228927,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,241.0,0.9000833509489894,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.046826222684703434,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,246.0,0.9768865816295147,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.036420395421436005,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,215.0,0.529405927285552,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.011446409989594173,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,-0.9375650364203955,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,215.0,0.529405927285552,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.14464099895941726,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,196.0,0.31757172010838985,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.061394380853277836,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,242.0,0.9153939224779606,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.003121748178980229,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,191.0,0.27238877210766077,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.1571279916753382,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,238.0,0.8543895706534386,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.005202913631633715,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,77.0,0.00045317597687244415,Holm,0.015861159190535545,True,cliffs_delta_comparison_minus_reference,-0.4755463059313215,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,241.0,0.9000833509489894,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.021852237252861603,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,172.0,0.14060599450021982,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.2008324661810614,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,219.0,0.5814498504623771,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.06347554630593132,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,182.0,0.20231117121875286,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.1425598335067638,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,248.0,1.0,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.009365244536940686,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,182.0,0.20231117121875286,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.1841831425598335,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,177.0,0.16942174453288317,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.16337148803329865,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,201.0,0.3672574386000633,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.05931321540062435,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd_plus,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,185.0,0.2240869216620922,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.06347554630593132,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,222.0,0.6219436237588525,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.06971904266389178,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,237.0,0.8392556216567755,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.007284079084287201,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,219.0,0.5814498504623771,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.3298647242455775,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
