problem,metric,reference_algorithm,comparison_algorithm,direction,effect_size_name,effect_size,n_reference,n_comparison
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,0.37356919875130074,31,31
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.06971904266389178,31,31
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.2278876170655567,31,31
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.31321540062434966,31,31
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.10093652445369407,31,31
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.45681581685744016,31,31
DTLZ2_n_obj3,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,-0.3173777315296566,31,31
DTLZ2_n_obj3,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.2445369406867846,31,31
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.05098855359001041,31,31
DTLZ2_n_obj3,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.696149843912591,31,31
DTLZ2_n_obj3,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.6337148803329865,31,31
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.558792924037461,31,31
WFG4,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,0.45681581685744016,31,31
WFG4,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.11966701352757544,31,31
WFG4,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.47346514047866806,31,31
WFG4,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.4464099895941727,31,31
WFG4,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.1841831425598335,31,31
WFG4,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.9375650364203955,31,31
WFG9,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,-0.19458896982310095,31,31
WFG9,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.20915712799167535,31,31
WFG9,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.44016649323621226,31,31
WFG9,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.4214360041623309,31,31
WFG9,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.044745057232049947,31,31
WFG9,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.4505723204994797,31,31
ZDT1,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,0.3631633714880333,31,31
ZDT1,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.013527575442247659,31,31
ZDT1,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.3881373569198751,31,31
ZDT1,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.16545265348595214,31,31
ZDT1,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.331945889698231,31,31
ZDT1,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.17793964620187305,31,31
ZDT3,hv,MOSADE,MOSADE_no_restart,higher,cliffs_delta_comparison_minus_reference,0.5920915712799167,31,31
ZDT3,igd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.4630593132154006,31,31
ZDT3,igd_plus,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.43184183142559834,31,31
ZDT3,gd,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.1571279916753382,31,31
ZDT3,spread,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,-0.6462018730489074,31,31
ZDT3,time_s,MOSADE,MOSADE_no_restart,lower,cliffs_delta_comparison_minus_reference,0.9209157127991675,31,31
