problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,p_adjust_method,p_adjusted,significant_alpha_0p05,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,130.0,0.019774673506617546,Holm,0.31639477610588074,False,cliffs_delta_comparison_minus_reference,0.37356919875130074,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,223.0,0.635700810700655,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.06971904266389178,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,166.0,0.111049959436059,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.2278876170655567,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,133.0,0.023342357017099857,Holm,0.35013535525649786,False,cliffs_delta_comparison_minus_reference,-0.31321540062434966,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,211.0,0.4797733975574374,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.10093652445369407,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,63.0,0.00011839065700769424,Holm,0.003788501024246216,True,cliffs_delta_comparison_minus_reference,0.45681581685744016,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,124.0,0.014004520140588284,Holm,0.2520813625305891,False,cliffs_delta_comparison_minus_reference,-0.3173777315296566,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,150.0,0.055239553563296795,Holm,0.7733537498861551,False,cliffs_delta_comparison_minus_reference,-0.2445369406867846,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,229.0,0.7206862810999155,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.05098855359001041,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,49.0,2.507772296667099e-05,Holm,0.0008526425808668137,True,cliffs_delta_comparison_minus_reference,-0.696149843912591,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,63.0,0.00011839065700769424,Holm,0.003788501024246216,True,cliffs_delta_comparison_minus_reference,-0.6337148803329865,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,57.0,6.266403943300247e-05,Holm,0.0020679133012890816,True,cliffs_delta_comparison_minus_reference,-0.558792924037461,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,79.0,0.000541122630238533,Holm,0.015151433646678925,True,cliffs_delta_comparison_minus_reference,0.45681581685744016,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,189.0,0.25557575561106205,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.11966701352757544,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,109.0,0.005441642366349697,Holm,0.12515777442604303,False,cliffs_delta_comparison_minus_reference,-0.47346514047866806,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,107.0,0.004751680418848991,Holm,0.1140403300523758,False,cliffs_delta_comparison_minus_reference,-0.4464099895941727,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,196.0,0.31757172010838985,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.1841831425598335,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,0.9375650364203955,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,167.0,0.11561407148838043,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.19458896982310095,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,198.0,0.336907590739429,Holm,1.0,False,cliffs_delta_comparison_minus_reference,-0.20915712799167535,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,igd_plus,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,125.0,0.014852074906229973,Holm,0.25248527340590954,False,cliffs_delta_comparison_minus_reference,-0.44016649323621226,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,115.0,0.00806064996868372,Holm,0.17733429931104183,False,cliffs_delta_comparison_minus_reference,-0.4214360041623309,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,226.0,0.6776954075321555,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.044745057232049947,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG9,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,66.0,0.00016037467867136002,Holm,0.0048112403601408005,True,cliffs_delta_comparison_minus_reference,0.4505723204994797,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,123.0,0.01319857221096754,Holm,0.2507728720083833,False,cliffs_delta_comparison_minus_reference,0.3631633714880333,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
ZDT1,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,234.0,0.7942198486998677,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.013527575442247659,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
