problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed
DASCMOP7_difficulty7,MOSADE,hv,higher,31,110916.70043432672,3.3107542748039123,110915.51883421408,2.9560019839748084,110907.16666826807,110918.90260840488,0,0
DASCMOP7_difficulty7,MOSADE,igd,lower,31,0.03233450288807739,0.0010392539087226427,0.03234725650732116,0.0008676457326056271,0.031169766517909325,0.03446269769561381,0,0
DASCMOP7_difficulty7,MOSADE,igd_plus,lower,31,0.02264442934972817,0.0009304242290918661,0.02282529224497893,0.0007779766723510555,0.021702245066588445,0.024709215806674654,0,0
DASCMOP7_difficulty7,MOSADE,gd,lower,31,0.0009109072167530627,7.446263612171104e-05,0.000908835613045872,4.8169304623153815e-05,0.0008159610319232326,0.0010317494038370322,0,0
DASCMOP7_difficulty7,MOSADE,spread,lower,31,0.016864928073106793,0.0011848598119418886,0.017013244811271245,0.00098315180894062,0.015362188462770704,0.01894334139889428,0,0
DASCMOP7_difficulty7,MOSADE,time_s,lower,31,304.8901883000217,12.766231399975368,302.12958868064885,16.391534329145077,227.2038311000215,321.29973379999865,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,hv,higher,31,110917.63447001312,1.1649184554407839,110917.20640972201,1.5301880740744707,110911.90342928201,110919.46237490936,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,igd,lower,31,0.03236422057776648,0.0010562233320185951,0.032367534045736404,0.0007427861710877942,0.030644201842502546,0.03401054581305705,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,igd_plus,lower,31,0.02245907440907656,0.0006925676516478865,0.022461235593551357,0.0005158026243114585,0.021207969331208696,0.023605076780167728,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,gd,lower,31,0.0008854210831134193,4.559111734271605e-05,0.0008857364002092508,2.7157101645451253e-05,0.0008388146458361301,0.0009501544757784872,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,spread,lower,31,0.01666625487631345,0.0012597196628089495,0.01682518295003931,0.0012491140011373484,0.014271586009318698,0.01974493684996898,0,0
DASCMOP7_difficulty7,MOSADE_no_restart,time_s,lower,31,309.46747489998234,14.356939049990615,311.4011515709656,16.081777499296283,241.623486699973,332.6576258999994,0,0
