experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,status,report_status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.6149843912591051,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.9791883454734651,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.9979188345473465,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.21956295525494277,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.5671175858480749,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.8834547346514048,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,0.9979188345473465,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_domselect,cliffs_delta_comparison_minus_reference,-0.3340270551508845,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
