problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,p_adjust_method,p_adjusted,significant_alpha_0p05,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,56.0,5.613267421722412e-05,Holm,0.0008419901132583618,True,cliffs_delta_comparison_minus_reference,-0.6149843912591051,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,0.9791883454734651,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,0.9979188345473465,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,182.0,0.20231117121875286,Holm,1.0,False,cliffs_delta_comparison_minus_reference,0.21956295525494277,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,105.0,0.00413934513926506,Holm,0.049672141671180725,True,cliffs_delta_comparison_minus_reference,-0.5671175858480749,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,10.0,4.0046870708465576e-08,Holm,8.009374141693115e-07,True,cliffs_delta_comparison_minus_reference,0.8834547346514048,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,Holm,3.3527612686157227e-08,True,cliffs_delta_comparison_minus_reference,0.9979188345473465,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,gd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,73.0,0.0003146035596728325,Holm,0.004089846275746822,True,cliffs_delta_comparison_minus_reference,-0.3340270551508845,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DTLZ2_n_obj3,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,72.0,0.0002865353599190712,Holm,0.004011495038866997,True,cliffs_delta_comparison_minus_reference,-0.5816857440166493,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
