source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,result_dir,problem,algorithm,median,ci95_low,ci95_high,status,notes
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,15176322956577928898,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,784007.3427443806,782989.8602472614,784339.3238931971,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,4676629784544086016,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,777343.8948830783,775087.2845661994,777974.6316013945,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,18105243198068938749,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,782030.9681636358,781425.5208481649,783292.4108694276,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,6239964596208145081,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,MOEAD,1845470.5701885552,1845393.6103661908,1845550.7264420325,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,2906381511292347514,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,MOSADE,1843798.9439767408,1842723.8714425447,1843874.9205617371,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,6349339489304422593,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,NSGA2,1845342.20257844,1845262.7056442087,1845408.189396608,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,14081001269233131218,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,MOEAD,54.17561160583266,54.16521355250454,54.191238827119214,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,17035689168345069261,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,MOSADE,54.14483786328369,54.12822517653609,54.14954154807605,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,16916135982797225995,5000,results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,NSGA2,53.9362705360214,53.77846700980661,54.20810223892514,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,1534172379510144605,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,MOEAD,59.29971880206169,58.25871289653686,59.96441476440492,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,1669371991532434141,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,MOSADE,72.11997560220848,72.05227073023764,72.17666983227207,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,4113728948765399596,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,NSGA2,67.27842044671789,67.10512584178517,67.9652850487669,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,5406952898812646387,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,NSGA3,73.20959292938237,73.07224495162049,73.25337515135232,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,14066705312703192812,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,MOEAD,617063523350.7684,616655139732.1456,617965032505.5933,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,3101536921831007418,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,MOSADE,598911633499.2789,594619971422.2452,603239826322.0885,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,3640439308767112612,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,NSGA2,613826617641.3168,610857796634.4211,615026906349.8317,ok,median bootstrap CI; unsupported/missing/NaN values excluded
cre,tables\rebuilt_cre_by_run.csv,hv,documented_hv,21,12740438689760030622,5000,results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,NSGA3,605566833758.8931,598999656547.3632,608468767689.4833,ok,median bootstrap CI; unsupported/missing/NaN values excluded
