result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,2684470948,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_000,ok,,30000,8,8,1.0,final_population_feasible_nondominated,781504.461784511,nan,nan,nan,1.7142857142857144,4.729008700000122
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,4091952314,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_001,ok,,30000,80,80,1.0,final_population_feasible_nondominated,784821.0785115156,nan,nan,nan,1.9746835443037978,5.050820099946577
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,233227757,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_002,ok,,30000,3,3,1.0,final_population_feasible_nondominated,784713.977480795,nan,nan,nan,1.0,5.019240499997977
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3276785861,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_003,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783876.9306184752,nan,nan,nan,1.9797979797979797,5.053533600002993
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3644269654,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_004,ok,,30000,100,100,1.0,final_population_feasible_nondominated,776684.0730494949,nan,nan,nan,1.9797979790766664,4.916659200040158
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,1206282609,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_005,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783722.2215052648,nan,nan,nan,1.9797979797979794,4.72232439997606
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3543069911,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_006,ok,,30000,100,100,1.0,final_population_feasible_nondominated,777868.7558609846,nan,nan,nan,1.9797979797979797,4.500135899987072
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3479688010,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_007,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784824.660118028,nan,nan,nan,1.9797979797979788,4.890353800030425
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,877132087,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_008,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781285.7356031319,nan,nan,nan,1.9797974796300792,5.4374308999977075
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,1244265337,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_009,ok,,30000,63,63,1.0,final_population_feasible_nondominated,784250.6397243723,nan,nan,nan,1.9677419354838677,5.127117900003213
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,2740186692,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_010,ok,,30000,9,9,1.0,final_population_feasible_nondominated,783206.3214946471,nan,nan,nan,1.75,5.365387799974997
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3884972972,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_011,ok,,30000,2,2,1.0,final_population_feasible_nondominated,784466.2221738698,nan,nan,nan,0.0,5.6908248999970965
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,829139639,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_012,ok,,30000,7,7,1.0,final_population_feasible_nondominated,784525.3549362717,nan,nan,nan,1.666666666666667,5.845346799993422
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,2545567356,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_013,ok,,30000,17,17,1.0,final_population_feasible_nondominated,784171.5181923166,nan,nan,nan,1.875,5.427717000013217
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,2718398101,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_014,ok,,30000,5,5,1.0,final_population_feasible_nondominated,771964.5557663123,nan,nan,nan,1.5000000000000002,5.878694699960761
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,176092387,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_015,ok,,30000,7,7,1.0,final_population_feasible_nondominated,784822.2172646276,nan,nan,nan,1.6666666666666663,5.441940799995791
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,3528048386,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_016,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784195.5017594856,nan,nan,nan,1.97979797979798,5.21926700003678
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,569531098,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_017,ok,,30000,18,18,1.0,final_population_feasible_nondominated,782989.8602472614,nan,nan,nan,1.8823529411764706,4.981195599946659
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,1337295874,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_018,ok,,30000,100,100,1.0,final_population_feasible_nondominated,778605.8210159398,nan,nan,nan,1.979797962906753,4.911429200030398
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,612016888,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_019,ok,,30000,4,4,1.0,final_population_feasible_nondominated,784339.3238931971,nan,nan,nan,1.3333333333333333,4.63793019996956
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,232150720,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOEAD/run_020,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784007.3427443806,nan,nan,nan,1.9797979797979792,4.476051300007384
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,2684470948,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_000,ok,,30070,200,200,1.0,archive,778819.9808830128,nan,nan,nan,1.459218768523584,10.676583899999969
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,4091952314,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_001,ok,,30040,200,200,1.0,archive,777956.7432895234,nan,nan,nan,1.4076194099600776,14.516731800045818
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,233227757,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_002,ok,,30040,200,200,1.0,archive,777974.6316013945,nan,nan,nan,1.2310315450606208,19.036948500026483
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,3276785861,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_003,ok,,30050,200,200,1.0,archive,774249.3554110485,nan,nan,nan,1.3255421690600737,21.63989979994949
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,3644269654,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_004,ok,,30050,200,200,1.0,archive,774829.6505557033,nan,nan,nan,1.3051455544144241,13.751097200030927
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,1206282609,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_005,ok,,30140,200,200,1.0,archive,777567.9966671598,nan,nan,nan,1.2529435049799944,22.469032599998172
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,3543069911,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_006,ok,,30030,199,199,1.0,archive,774840.1436301343,nan,nan,nan,1.422285462374552,13.91421120002633
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,3479688010,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_007,ok,,30030,200,200,1.0,archive,768348.1943187925,nan,nan,nan,1.4863742526038979,16.578450099972542
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,877132087,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_008,ok,,30050,200,200,1.0,archive,782305.7240613096,nan,nan,nan,1.2657243465915475,21.72949160001008
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,1244265337,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_009,ok,,30080,200,200,1.0,archive,782088.884745855,nan,nan,nan,1.3368335905859312,14.291607299994212
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,2740186692,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_010,ok,,30030,200,200,1.0,archive,776899.8742461132,nan,nan,nan,1.4099022806960326,14.807528600038495
