problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
CRE21,hv,MOSADE,MOEAD,higher,paired,wilcoxon_signed_rank,19.0,0.00029277801513671875,cliffs_delta_comparison_minus_reference,0.7551020408163265,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,hv,MOSADE,NSGA2,higher,paired,wilcoxon_signed_rank,12.0,6.67572021484375e-05,cliffs_delta_comparison_minus_reference,0.7278911564625851,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,igd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,igd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,igd_plus,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,igd_plus,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,gd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,gd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,spread,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,23.0,0.0006074905395507812,cliffs_delta_comparison_minus_reference,0.7596371882086168,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE21,spread,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
