problem,metric,reference_algorithm,comparison_algorithm,direction,effect_size_name,effect_size,n_reference,n_comparison
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.1404786680541103,31,31
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.1571279916753382,31,31
DTLZ2_n_obj3,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.38189386056191466,31,31
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,-0.29448491155046824,31,31
WFG4,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG4,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.9375650364203955,31,31
WFG4,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.9375650364203955,31,31
WFG9,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
WFG9,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,-0.8896982310093653,31,31
WFG9,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,-0.8626430801248699,31,31
ZDT1,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT1,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.4797086368366285,31,31
ZDT1,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.8668054110301769,31,31
ZDT3,hv,MOSADE,MOSADE_eps_zero,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,hv,MOSADE,MOSADE_fixed_eps_initial,higher,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,igd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,igd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,igd_plus,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,igd_plus,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,gd,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,gd,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,spread,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,spread,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.0,31,31
ZDT3,time_s,MOSADE,MOSADE_eps_zero,lower,cliffs_delta_comparison_minus_reference,0.6753381893860562,31,31
ZDT3,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,cliffs_delta_comparison_minus_reference,0.7336108220603538,31,31
