result_dir,problem,algorithm,seed,source_files_found,n_decisions,n_objectives,n_pareto_approximation,n_feasible_final_population_recomputed,n_feasible_final_population_metrics_json,feasibility_ratio_recomputed,feasibility_ratio_metrics_json,best_cv_recomputed,median_cv_recomputed,cv_tolerance,definition_status,notes
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,2684470948,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,4091952314,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,233227757,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3276785861,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3644269654,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,1206282609,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3543069911,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3479688010,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,877132087,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,1244265337,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,2740186692,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
results/20260417_034204_benchmark_zdt,ZDT1,MOEAD,3884972972,metrics.json;history.json;objectives.txt;decisions.txt;pareto_approximation.txt,100,100,100,100,100,1.0,1.0,0.0,0.0,1e-10,recomputed_from_decisions_txt,
