problem,metric,reference_algorithm,comparison_algorithm,direction,effect_size_name,effect_size,n_reference,n_comparison
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,-0.07388137356919876,31,31
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.2154006243496358,31,31
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.36524453694068676,31,31
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.25494276795005205,31,31
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.22580645161290322,31,31
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.44849115504682624,31,31
DTLZ2_n_obj3,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,0.2445369406867846,31,31
DTLZ2_n_obj3,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.21748178980228927,31,31
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.046826222684703434,31,31
DTLZ2_n_obj3,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.036420395421436005,31,31
DTLZ2_n_obj3,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.011446409989594173,31,31
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.9375650364203955,31,31
WFG4,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,0.14464099895941726,31,31
WFG4,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.061394380853277836,31,31
WFG4,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.003121748178980229,31,31
WFG4,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.1571279916753382,31,31
WFG4,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.005202913631633715,31,31
WFG4,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.4755463059313215,31,31
WFG9,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,0.021852237252861603,31,31
WFG9,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.2008324661810614,31,31
WFG9,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.06347554630593132,31,31
WFG9,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.1425598335067638,31,31
WFG9,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.009365244536940686,31,31
WFG9,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.1841831425598335,31,31
ZDT1,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,-0.16337148803329865,31,31
ZDT1,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.05931321540062435,31,31
ZDT1,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.06347554630593132,31,31
ZDT1,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.06971904266389178,31,31
ZDT1,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.007284079084287201,31,31
ZDT1,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.3298647242455775,31,31
ZDT3,hv,MOSADE,MOSADE_shared_memory,higher,cliffs_delta_comparison_minus_reference,-0.24037460978147762,31,31
ZDT3,igd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.030176899063475548,31,31
ZDT3,igd_plus,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,0.33610822060353795,31,31
ZDT3,gd,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.13423517169614985,31,31
ZDT3,spread,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.14672216441207075,31,31
ZDT3,time_s,MOSADE,MOSADE_shared_memory,lower,cliffs_delta_comparison_minus_reference,-0.186264308012487,31,31
