experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.019774673506617546,0.019774673506617546,cliffs_delta_comparison_minus_reference,0.37356919875130074,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.635700810700655,0.635700810700655,cliffs_delta_comparison_minus_reference,0.06971904266389178,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.111049959436059,0.111049959436059,cliffs_delta_comparison_minus_reference,-0.2278876170655567,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.023342357017099857,0.023342357017099857,cliffs_delta_comparison_minus_reference,-0.31321540062434966,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.4797733975574374,0.4797733975574374,cliffs_delta_comparison_minus_reference,-0.10093652445369407,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.007560359314084053,0.007560359314084053,cliffs_delta_comparison_minus_reference,-0.3548387096774194,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.014004520140588284,0.014004520140588284,cliffs_delta_comparison_minus_reference,-0.3173777315296566,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.055239553563296795,0.055239553563296795,cliffs_delta_comparison_minus_reference,-0.2445369406867846,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.7206862810999155,0.7206862810999155,cliffs_delta_comparison_minus_reference,0.05098855359001041,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,2.507772296667099e-05,2.507772296667099e-05,cliffs_delta_comparison_minus_reference,-0.696149843912591,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
