problem,metric,reference_algorithm,comparison_algorithm,direction,effect_size_name,effect_size,n_reference,n_comparison
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,-0.6149843912591051,31,31
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9791883454734651,31,31
DASCMOP7_difficulty7,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9979188345473465,31,31
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.21956295525494277,31,31
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
DTLZ2_n_obj3,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,-0.5671175858480749,31,31
DTLZ2_n_obj3,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.8834547346514048,31,31
DTLZ2_n_obj3,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9979188345473465,31,31
DTLZ2_n_obj3,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,-0.3340270551508845,31,31
DTLZ2_n_obj3,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,-0.5816857440166493,31,31
DTLZ2_n_obj3,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9001040582726326,31,31
WFG4,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,0.186264308012487,31,31
WFG4,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.2133194588969823,31,31
WFG4,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.8709677419354839,31,31
WFG4,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,-0.1841831425598335,31,31
WFG4,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.20499479708636836,31,31
WFG4,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
WFG9,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,-0.9750260145681582,31,31
WFG9,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.8439125910509886,31,31
WFG9,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
WFG9,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9167533818938606,31,31
WFG9,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.005202913631633715,31,31
WFG9,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
ZDT1,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,-0.9292403746097815,31,31
ZDT1,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.8834547346514048,31,31
ZDT1,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.9812695109261186,31,31
ZDT1,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,-0.007284079084287201,31,31
ZDT1,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.4380853277835588,31,31
ZDT1,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
ZDT3,hv,MOSADE,MOSADE_domselect,higher,cliffs_delta_comparison_minus_reference,-0.10926118626430802,31,31
ZDT3,igd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.704474505723205,31,31
ZDT3,igd_plus,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.6649323621227887,31,31
ZDT3,gd,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,-0.3028095733610822,31,31
ZDT3,spread,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,0.1529656607700312,31,31
ZDT3,time_s,MOSADE,MOSADE_domselect,lower,cliffs_delta_comparison_minus_reference,1.0,31,31
