experiment_group,problem,variant,metric,direction,n_runs,median,iqr,mean,std,min,max,rank,best_flag,status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,DASCMOP7_difficulty7,MOSADE,gd,lower,31,0.0009109072167530627,7.446263612171104e-05,0.000908835613045872,4.8169304623153815e-05,0.0008159610319232326,0.0010317494038370322,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,gd,lower,31,0.0016785514533755209,0.0009583646967185316,0.0018388010701833426,0.0007138073811302969,0.000979589985047224,0.003923621708747223,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE,hv,higher,31,110916.70043432672,3.3107542748039123,110915.51883421408,2.9560019839748084,110907.16666826807,110918.90260840488,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,hv,higher,31,110909.00817501791,55.74237395080854,110887.4621540344,38.43712291016931,110777.56705364387,110918.54949827035,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE,igd,lower,31,0.03233450288807739,0.0010392539087226427,0.03234725650732116,0.0008676457326056271,0.031169766517909325,0.03446269769561381,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,igd,lower,31,0.03763711285357043,0.007946297430890252,0.03978805981371271,0.006365251533530476,0.033051381253156195,0.0606319464015981,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE,igd_plus,lower,31,0.02264442934972817,0.0009304242290918661,0.02282529224497893,0.0007779766723510555,0.021702245066588445,0.024709215806674654,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,igd_plus,lower,31,0.032839580675299955,0.012351364045986461,0.03498991023059855,0.00842404302409544,0.025577790943669958,0.060012028779383185,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE,spread,lower,31,0.016864928073106793,0.0011848598119418886,0.017013244811271245,0.00098315180894062,0.015362188462770704,0.01894334139889428,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,spread,lower,31,0.017402396158104922,0.0012845429229078574,0.017368296671466225,0.0009930196977434573,0.01545170892163188,0.019938564920776624,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE,time_s,lower,31,318.3919569000136,15.5325723499991,317.7850429129049,14.115417929613567,257.05360429998836,337.91005729997414,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DASCMOP7_difficulty7,MOSADE_domselect,time_s,lower,31,891.5287551000074,456.3579984500102,924.7620522387105,213.42509073528845,668.1335181000177,1196.6492748000019,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,gd,lower,31,0.004475311114698153,0.0017063704082506928,0.004938538939866912,0.00135356409661377,0.0036400186711982537,0.008294333961877363,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,gd,lower,31,0.003971447632043092,0.00014634082940107734,0.004026576787840374,0.00027757751817774864,0.003785422249044393,0.005090068815060492,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,hv,higher,31,18.002498554943354,0.013300198661504226,18.000377934539063,0.01300833163430933,17.95818826793231,18.02119799900126,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,hv,higher,31,17.991824137441775,0.015649394424080754,17.988367928693545,0.013238866973508154,17.942239157153452,18.006987953418864,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,igd,lower,31,0.04950514939865299,0.002781005458371337,0.0496584833912232,0.001966066475860101,0.04560437994802025,0.05327247148514437,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE_domselect,igd,lower,31,0.053904867664155746,0.002756513588850193,0.05433040930582243,0.0024219924851460505,0.04936545144854725,0.05978890859675022,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,DTLZ2_n_obj3,MOSADE,igd_plus,lower,31,0.025223262815618014,0.0019196643685276266,0.025476423973763377,0.001467847959568578,0.023115447719014616,0.029846695123888125,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
