constant_name,problem,metric,direction,default_median,default_rank,max_abs_median_delta_vs_default,max_relative_median_delta_vs_default,max_abs_effect_size_vs_default,n_levels_better_than_default,n_levels_worse_than_default,n_significant_after_holm,robustness_class,a1_a5_formal_experiment_source_snapshot_sha256,a1_a5_postprocessing_source_snapshot_sha256,e3_formal_experiment_source_snapshot_sha256,global_postprocessing_source_snapshot_sha256
lp,DASCMOP7_difficulty7,gd,lower,0.0008686422467785126,1,4.281280123307168e-05,0.04928703547616898,0.30578512396694213,0,2,0,robust_default_not_worse,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,hv,higher,110917.57066837502,1,0.43704816853278317,3.9402969781900836e-06,0.2396694214876033,0,2,0,robust_default_not_worse,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,igd,lower,0.03175457243275749,1,0.0007724348983857363,0.024325155062988824,0.48760330578512395,0,2,0,robust_default_not_worse,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,igd_plus,lower,0.02221949721641537,1,0.0006747863041528385,0.03036910770664596,0.5702479338842975,0,2,0,robust_default_not_worse,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,spread,lower,0.016708344600923446,1,0.00043729514164914107,0.02617226015466382,0.12396694214876033,0,2,0,robust_small_effects,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,time_s,lower,311.4256984000094,2,38.114292799989926,0.12238647290768594,0.768595041322314,1,1,1,sensitive_default_not_best,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DTLZ2_n_obj3,gd,lower,0.004718712387124944,2,0.0002553734465516235,0.05411930747218513,0.19008264462809918,1,1,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DTLZ2_n_obj3,hv,higher,17.998843035237176,3,0.00232279425724613,0.0001290524203527242,0.2396694214876033,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DTLZ2_n_obj3,igd,lower,0.05063230059783576,3,0.0009205293605297551,0.0181806741874396,0.30578512396694213,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DTLZ2_n_obj3,igd_plus,lower,0.026943424526420016,3,0.0020455515240317204,0.07592024993058719,0.35537190082644626,2,0,0,mixed,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
