problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_domselect,higher,paired,wilcoxon_signed_rank,56.0,5.613267421722412e-05,cliffs_delta_comparison_minus_reference,-0.6149843912591051,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_eps_zero,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_fixed_eps,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_fixed_eps_initial,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,130.0,0.019774673506617546,cliffs_delta_comparison_minus_reference,0.37356919875130074,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,202.0,0.3777303956449032,cliffs_delta_comparison_minus_reference,-0.07388137356919876,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_single_S1,higher,paired,wilcoxon_signed_rank,83.0,0.0007640225812792778,cliffs_delta_comparison_minus_reference,-0.5213319458896982,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_single_S2,higher,paired,wilcoxon_signed_rank,68.0,0.00019535142928361893,cliffs_delta_comparison_minus_reference,0.4672216441207076,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_single_S3,higher,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_single_S4,higher,paired,wilcoxon_signed_rank,180.0,0.18865238688886166,cliffs_delta_comparison_minus_reference,0.20915712799167535,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,hv,MOSADE,MOSADE_uniform_strategy,higher,paired,wilcoxon_signed_rank,92.0,0.001587800681591034,cliffs_delta_comparison_minus_reference,-0.4505723204994797,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,0.9791883454734651,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_eps_zero,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_fixed_eps,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,223.0,0.635700810700655,cliffs_delta_comparison_minus_reference,0.06971904266389178,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,170.0,0.13016566075384617,cliffs_delta_comparison_minus_reference,0.2154006243496358,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_single_S1,lower,paired,wilcoxon_signed_rank,164.0,0.10233690217137337,cliffs_delta_comparison_minus_reference,0.3090530697190427,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,igd,MOSADE,MOSADE_single_S2,lower,paired,wilcoxon_signed_rank,141.0,0.0355817461386323,cliffs_delta_comparison_minus_reference,0.2924037460978148,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
